STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-NORMAL,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-SNOW-25PCTL,MLY-PRCP-50PCTL,MLY-SNOW-50PCTL,MLY-PRCP-75PCTL,MLY-SNOW-75PCTL,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE010WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TAVG-NORMAL,MLY-DUTR-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL,MLY-TAVG-STDDEV,MLY-DUTR-STDDEV,MLY-TMAX-STDDEV,MLY-TMIN-STDDEV
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201011,32,12,2,-7777,-7777,0,0,0,0,38,28,-9999,-9999,-9999,-9999,-9999,-9999,12,2,-7777,-7777,0,0,0,0,217,345,485,633,693,783,933,-9999,-9999,-9999,-9999,-9999,-9999,120,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,208,88,21,0,0,0,25,1,19,109,259,290,300,300,300,339,220,449,229,-9999,-9999,-9999,-9999
GHCND:USW00004128,RILEY 10 WSW OR US,1396.9,43.4711,-119.6917,201012,3,-7777,0,0,0,0,0,0,0,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-7777,0,0,0,0,0,0,0,447,600,754,909,971,1064,1219,-9999,-9999,-9999,-9999,-9999,-9999,152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,92,6,0,0,0,0,108,24,89,186,289,307,310,310,310,257,181,347,166,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,275,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,120,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,135,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201006,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,151,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201010,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,240,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354501,KLAMATH FALLS 1 NW OR US,1295.4,42.2303,-121.76306,201012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,372,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201001,8,1,-7777,0,0,0,0,0,0,4,2,912,987,1000,1000,1000,1000,1,-7777,0,0,0,0,0,0,273,421,575,730,792,885,1040,106,0,153,10,216,76,163,34,33,23,1,5,1,97,48,8,3,-9999,-9999,-9999,-9999,0,134,13,0,0,0,0,54,6,22,80,250,306,310,310,310,314,139,384,245,40,19,38,44
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201002,22,3,-7777,-7777,0,0,0,0,0,16,10,809,950,998,1000,1000,1000,3,-7777,-7777,0,0,0,0,0,178,300,437,577,633,717,857,62,0,95,3,123,46,114,23,15,10,0,2,-7777,78,36,2,-7777,-9999,-9999,-9999,-9999,0,191,52,4,0,0,0,22,4,13,62,211,272,280,280,280,344,170,429,259,41,24,43,42
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201003,91,33,8,1,-7777,-7777,0,0,0,80,62,222,615,935,1000,1000,1000,33,8,1,-7777,-7777,0,0,0,67,163,293,441,503,595,750,88,0,125,0,176,16,146,10,11,5,0,-7777,0,104,50,4,-7777,-9999,-9999,-9999,-9999,0,285,167,49,5,0,0,3,0,1,15,190,291,309,310,310,408,207,512,304,27,30,37,25
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201004,215,112,48,15,9,3,-7777,-7777,0,161,136,0,94,515,920,1000,1000,112,48,15,9,3,-7777,-7777,0,15,61,147,264,318,402,549,98,0,131,0,224,0,158,1,2,1,0,0,0,95,48,4,1,-9999,-9999,-9999,-9999,0,299,240,121,42,3,0,0,0,0,1,95,235,298,300,300,467,231,583,351,25,23,33,20
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201005,447,301,177,89,64,37,11,2,1,300,265,0,0,25,297,757,979,301,177,89,64,37,11,2,1,1,9,41,108,145,210,339,137,0,173,0,243,0,199,0,0,0,0,0,0,96,59,9,1,-9999,-9999,-9999,-9999,0,310,298,222,115,40,2,0,0,0,0,18,115,274,309,310,544,245,667,421,24,28,34,19
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201006,651,502,355,223,177,118,50,15,8,435,391,0,0,0,0,79,432,502,355,223,177,118,50,15,8,-7777,1,4,22,36,67,149,99,0,144,0,206,0,154,0,0,0,0,0,0,81,48,7,1,-9999,-9999,-9999,-9999,0,300,298,278,201,93,15,0,0,0,0,1,22,173,289,300,617,260,747,487,25,24,35,18
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201007,917,762,607,454,393,305,175,76,49,630,574,0,0,0,0,0,0,762,607,454,393,305,175,76,49,0,0,-7777,1,3,7,32,19,0,43,0,94,0,68,0,0,0,0,0,0,39,20,3,1,-9999,-9999,-9999,-9999,7,310,310,309,296,235,103,0,0,0,0,0,2,79,262,309,696,316,854,538,32,27,42,26
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201008,899,744,589,436,376,289,161,67,41,613,560,0,0,0,0,17,99,744,589,436,376,289,161,67,41,0,0,-7777,2,4,10,37,18,0,64,0,112,0,85,0,0,0,0,0,0,38,22,4,1,-9999,-9999,-9999,-9999,4,310,310,307,293,240,104,0,0,0,0,-7777,6,103,281,310,690,334,857,523,24,26,32,21
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201009,599,450,311,189,147,94,35,8,4,427,391,0,0,27,216,608,904,450,311,189,147,94,35,8,4,-7777,2,12,40,59,96,186,28,0,61,0,97,0,67,0,0,0,0,0,0,44,22,1,0,-9999,-9999,-9999,-9999,0,300,298,277,216,118,25,0,0,0,0,14,91,249,297,300,600,325,762,437,33,36,46,27
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201010,283,161,73,26,16,6,-7777,-7777,0,227,198,62,224,665,974,1000,1000,161,73,26,16,6,-7777,-7777,0,12,44,112,220,271,354,504,63,0,134,0,178,0,129,-7777,1,-7777,0,0,0,77,40,7,0,-9999,-9999,-9999,-9999,0,307,274,178,75,17,-7777,-7777,0,-7777,2,103,231,306,310,310,487,270,623,352,25,39,40,20
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201011,63,22,6,1,-7777,-7777,0,0,0,41,30,499,763,953,1000,1000,1000,22,6,1,-7777,-7777,0,0,0,123,231,364,509,569,659,808,130,0,169,10,274,27,203,15,16,11,0,1,-7777,108,59,7,2,-9999,-9999,-9999,-9999,0,232,94,21,1,0,0,13,2,6,34,174,271,298,300,300,380,163,462,299,37,26,39,40
GHCND:USC00354622,LA GRANDE OR US,839.7,45.3167,-118.0747,201012,8,1,-7777,0,0,0,0,0,0,4,2,932,995,1000,1000,1000,1000,1,-7777,0,0,0,0,0,0,298,446,600,755,817,910,1065,89,5,146,15,222,50,166,32,30,19,0,5,1,109,54,3,1,-9999,-9999,-9999,-9999,0,127,13,0,0,0,0,67,5,26,88,255,306,310,310,310,307,139,376,237,37,21,36,40
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201001,17,4,1,0,0,0,0,0,0,22,15,-9999,-9999,-9999,-9999,-9999,-9999,4,1,0,0,0,0,0,0,234,376,528,682,744,837,992,-9999,-9999,-9999,-9999,-9999,-9999,138,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,207,65,6,0,0,0,31,5,31,101,269,307,310,310,310,330,206,433,227,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201002,40,9,1,-7777,-7777,0,0,0,0,58,42,-9999,-9999,-9999,-9999,-9999,-9999,9,1,-7777,-7777,0,0,0,0,117,226,358,497,553,637,777,-9999,-9999,-9999,-9999,-9999,-9999,117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,245,146,21,1,0,0,10,5,13,64,225,274,280,280,280,373,245,495,250,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201003,153,60,16,3,1,-7777,0,0,0,162,135,-9999,-9999,-9999,-9999,-9999,-9999,60,16,3,1,-7777,0,0,0,29,90,200,342,403,495,650,-9999,-9999,-9999,-9999,-9999,-9999,146,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,307,257,120,27,1,0,0,0,0,16,197,292,309,310,310,441,279,580,301,-9999,-9999,-9999,-9999
GHCND:USC00355711,MONUMENT 2 OR US,608.1,44.8185,-119.42,201004,301,174,82,29,18,7,1,-7777,-7777,259,229,-9999,-9999,-9999,-9999,-9999,-9999,174,82,29,18,7,1,-7777,-7777,4,27,85,182,230,310,454,-9999,-9999,-9999,-9999,-9999,-9999,144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,300,287,195,99,32,1,0,0,0,1,102,241,298,300,300,499,306,652,346,-9999,-9999,-9999,-9999
